26.01.2017  0:15:03,76 - nsd, INFO, ALL IS WELL  
26.01.2017  0:15:04,06 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:08,45 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:15:08,75 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:13,17 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:17,56 - nsd, INFO, ALL IS WELL  
26.01.2017  0:15:17,90 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:22,29 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:15:22,62 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:26,99 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:31,35 - nsd, INFO, ALL IS WELL  
26.01.2017  0:15:31,65 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:36,08 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:15:36,42 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:40,80 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:45,19 - nsd, INFO, ALL IS WELL  
26.01.2017  0:15:45,49 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:49,86 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:15:50,18 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:54,54 - lsm, INFO, ALL IS WELL  
26.01.2017  0:15:58,97 - nsd, INFO, ALL IS WELL  
26.01.2017  0:15:59,30 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:03,69 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:16:04,00 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:08,38 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:12,76 - nsd, INFO, ALL IS WELL  
26.01.2017  0:16:13,08 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:17,43 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:16:17,76 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:22,17 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:26,54 - nsd, INFO, ALL IS WELL  
26.01.2017  0:16:26,84 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:31,28 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:16:31,60 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:36,01 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:40,45 - nsd, INFO, ALL IS WELL  
26.01.2017  0:16:40,76 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:45,12 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:16:45,42 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:49,80 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:54,15 - nsd, INFO, ALL IS WELL  
26.01.2017  0:16:54,46 - lsm, INFO, ALL IS WELL  
26.01.2017  0:16:58,92 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:16:59,26 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:03,65 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:08,02 - nsd, INFO, ALL IS WELL  
26.01.2017  0:17:08,35 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:12,72 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:17:13,03 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:17,44 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:21,82 - nsd, INFO, ALL IS WELL  
26.01.2017  0:17:22,14 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:26,58 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:17:26,90 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:31,29 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:35,64 - nsd, INFO, ALL IS WELL  
26.01.2017  0:17:35,99 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:40,39 - mtbpro, WARNING, NOT RUNNIG  
26.01.2017  0:17:40,69 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:45,08 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:49,45 - nsd, INFO, ALL IS WELL  
26.01.2017  0:17:49,76 - lsm, INFO, ALL IS WELL  
26.01.2017  0:17:54,15 - mtbpro, WARNING, NOT RUNNIG  
